id	pfam_id	uniprot_id	pfam_embedding	uniprot_embedding	refSeqAccession	entry	entry_name	protein_names	gene_names	organism	pfam_description	uniprot_function
None	PF01592	A0A063CI22	None	None	WP_000009523.1	None	None	A0A063CI22_BACCE	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A7N4YHK7	None	None	WP_000009523.1	None	None	A0A7N4YHK7_BACMY	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A427RSJ8	None	None	WP_000009523.1	None	None	A0A427RSJ8_BACSP	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9W3SYE3	None	None	WP_000009523.1	None	None	A0A9W3SYE3_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A0B5X8I5	None	None	WP_000009523.1	None	None	A0A0B5X8I5_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9W4ERX0	None	None	WP_000009523.1	None	None	A0A9W4ERX0_BACTO	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A1X3MKY0	None	None	WP_000009523.1	None	None	A0A1X3MKY0_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9X0EY22	None	None	WP_000009523.1	None	None	A0A9X0EY22_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A0J6KUX5	None	None	WP_000009523.1	None	None	A0A0J6KUX5_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9X6FD02	None	None	WP_000009523.1	None	None	A0A9X6FD02_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A243IN20	None	None	WP_000009523.1	None	None	A0A243IN20_BACHU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9X6LQX9	None	None	WP_000009523.1	None	None	A0A9X6LQX9_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A243CLT8	None	None	WP_000009523.1	None	None	A0A243CLT8_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A242W6A9	None	None	WP_000009523.1	None	None	A0A242W6A9_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A243BDP8	None	None	WP_000009523.1	None	None	A0A243BDP8_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0AAE5F612	None	None	WP_000009523.1	None	None	A0AAE5F612_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A2S8VWN9	None	None	WP_000009523.1	None	None	A0A2S8VWN9_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A2S8UR68	None	None	WP_000009523.1	None	None	A0A2S8UR68_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A853X4H1	None	None	WP_000009523.1	None	None	A0A853X4H1_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A2B6WCW9	None	None	WP_000009523.1	None	None	A0A2B6WCW9_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A1J9ZFK4	None	None	WP_000009523.1	None	None	A0A1J9ZFK4_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A1J9ZG25	None	None	WP_000009523.1	None	None	A0A1J9ZG25_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A4Y6F2F7	None	None	WP_000009523.1	None	None	A0A4Y6F2F7_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A7V7S613	None	None	WP_000009523.1	None	None	A0A7V7S613_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0AA44KQM8	None	None	WP_000009523.1	None	None	A0AA44KQM8_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A1J9UQC0	None	None	WP_000009523.1	None	None	A0A1J9UQC0_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A2A8UT33	None	None	WP_000009523.1	None	None	A0A2A8UT33_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A2B4FKB2	None	None	WP_000009523.1	None	None	A0A2B4FKB2_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A2G6Q8J0	None	None	WP_000009523.1	None	None	A0A2G6Q8J0_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A2N1JU57	None	None	WP_000009523.1	None	None	A0A2N1JU57_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A6I7XLT0	None	None	WP_000009523.1	None	None	A0A6I7XLT0_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A6H9I652	None	None	WP_000009523.1	None	None	A0A6H9I652_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9X9CFS6	None	None	WP_000009523.1	None	None	A0A9X9CFS6_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0AAI9W6N6	None	None	WP_000009523.1	None	None	A0AAI9W6N6_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A7V7HIB3	None	None	WP_000009523.1	None	None	A0A7V7HIB3_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	Q815Z4	None	None	WP_000009523.1	None	None	Q815Z4_BACCR	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A090YUU7	None	None	WP_000009523.1	None	None	A0A090YUU7_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A516QYG5	None	None	WP_000009523.1	None	None	A0A516QYG5_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A4Y7R2D3	None	None	WP_000009523.1	None	None	A0A4Y7R2D3_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A3G5UFQ3	None	None	WP_000009523.1	None	None	A0A3G5UFQ3_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A5C5AH71	None	None	WP_000009523.1	None	None	A0A5C5AH71_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0AAE6R1C0	None	None	WP_000009523.1	None	None	A0AAE6R1C0_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	Q6HBS7	None	None	WP_000009523.1	None	None	Q6HBS7_BACHK	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	Q631Z1	None	None	WP_000009523.1	None	None	Q631Z1_BACCZ	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A243GUS0	None	None	WP_000009523.1	None	None	A0A243GUS0_BACTF	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0AAE4QFI5	None	None	WP_000009523.1	None	None	A0AAE4QFI5_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0AAJ1GMJ0	None	None	WP_000009523.1	None	None	A0AAJ1GMJ0_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0AA96T1V8	None	None	WP_000009523.1	None	None	A0AA96T1V8_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0AAJ2RNK4	None	None	WP_000009523.1	None	None	A0AAJ2RNK4_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A1V9VZ29	None	None	WP_000009523.1	None	None	A0A1V9VZ29_9BACI	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	B7HD02	None	None	WP_000009523.1	None	None	B7HD02_BACC4	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	B7JED1	None	None	WP_000009523.1	None	None	B7JED1_BACC0	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0RKG5	None	None	WP_000009523.1	None	None	A0RKG5_BACAH	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0AAN0SS94	None	None	WP_000009523.1	None	None	A0AAN0SS94_BACCE	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9X6INI9	None	None	WP_000009523.1	None	None	A0A9X6INI9_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9W3PIJ3	None	None	WP_000009523.1	None	None	A0A9W3PIJ3_BACTU	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9X6M2A1	None	None	WP_000009523.1	None	None	A0A9X6M2A1_BACTJ	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A158RGQ0	None	None	WP_000009523.1	None	None	A0A158RGQ0_BACC3	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF01592	A0A9X6R846	None	None	WP_000009523.1	None	None	A0A9X6R846_BACTV	None	None	This domain is found in NifU in combination with Pfam:PF01106. This domain is found on isolated in several bacterial species such as Swiss:O53156. The nif genes are responsible for nitrogen fixation.  However this domain is found in bacteria that do not fix nitrogen, so it may have a broader significance in the cell than nitrogen fixation. These proteins appear to be scaffold proteins for iron-sulfur clusters [[cite:PUB00019928]].	None
None	PF00583	A0A6L8PH33	None	None	WP_000009791.1	None	None	A0A6L8PH33_BACAN	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	A0A0K6LGG8	None	None	WP_000009791.1	None	None	A0A0K6LGG8_BACCE	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	A0A0B6BVW8	None	None	WP_000009791.1	None	None	A0A0B6BVW8_BACTU	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	A0A243D055	None	None	WP_000009791.1	None	None	A0A243D055_BACTU	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	A0A242W4X8	None	None	WP_000009791.1	None	None	A0A242W4X8_BACTU	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	A0A243BEW9	None	None	WP_000009791.1	None	None	A0A243BEW9_BACTU	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	A0A4Y7QUG8	None	None	WP_000009791.1	None	None	A0A4Y7QUG8_9BACI	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	Q6HJD6	None	None	WP_000009791.1	None	None	Q6HJD6_BACHK	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	A0AA96PQ39	None	None	WP_000009791.1	None	None	A0AA96PQ39_9BACI	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	B7JMF7	None	None	WP_000009791.1	None	None	B7JMF7_BACC0	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	A0AAN0SZF6	None	None	WP_000009791.1	None	None	A0AAN0SZF6_BACCE	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	C3GID1	None	None	WP_000009791.1	None	None	C3GID1_BACTU	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF00583	A0A158RG36	None	None	WP_000009791.1	None	None	A0A158RG36_BACC3	None	None	This family contains proteins with N-acetyltransferase functions such as Elp3-related proteins.	None
None	PF17648	A0A4Y1W214	None	None	WP_000010325.1	None	None	A0A4Y1W214_BACAN	None	None	This family includes fungal luciferase which is part of the gene cluster that mediates the fungal bioluminescence cycle [[cite:PUB00101065]]. It may use the fungal luciferin 3-hydroxyhispidin as a substrate to produce an endoperoxide as a high-energy intermediate with decomposition that yields oxyluciferin (also known as caffeoylpyruvate) and light emission. The fungal bioluminescence cycle begins with the hispidin synthetase that catalyses the formation of hispidin which is further hydroxylated by the hispidin-3-hydroxylase,  yielding the fungal luciferin 3-hydroxyhispidin. The luciferase then produces an endoperoxide as a high-energy intermediate with decomposition  that yields oxyluciferin and light emission. Oxyluciferin can be recycled to caffeic acid by caffeoylpyruvate hydrolase [[cite:PUB00101065]]. This entry also includes uncharacterised bacterial sequences.	None
